overall,age
74,26
74,25
74,25
74,26
74,28
74,28
74,27
74,26
74,27
74,27
74,26
74,28
74,25
74,26
74,26
74,26
74,27
74,25
74,26
74,26
74,26
74,25
74,26
74,27
74,26
74,26
74,26
74,27
74,25
74,26
74,29
74,27
74,27
74,26
74,27
74,27
74,29
74,27
74,26
74,27
74,26
74,27
74,27
74,26
74,28
74,27
74,27
74,25
74,25
74,27
74,26
74,27
74,26
74,27
74,29
74,26
74,25
74,26
74,29
74,26
74,26
74,30
74,26
74,26
74,25
74,27
74,26
74,25
74,27
74,34
74,35
74,35
74,38
74,36
74,36
74,38
74,35
74,35
74,35
74,35
74,37
74,34
74,34
74,34
74,32
74,36
74,33
74,35
74,32
74,35
74,33
74,33
74,33
74,35
74,34
74,34
74,33
74,34
74,30
74,32
74,33
74,31
74,33
74,31
74,33
74,32
74,32
74,34
74,31
74,33
74,32
74,29
74,35
74,32
74,34
74,32
74,33
74,32
74,28
74,31
74,33
74,33
74,34
74,32
74,31
74,33
74,31
74,31
74,34
74,31
74,30
74,32
74,32
74,30
74,31
74,31
74,35
74,31
74,28
74,34
74,30
74,29
74,30
74,31
74,31
74,29
74,29
74,31
74,29
74,30
74,30
74,31
74,30
74,30
74,35
74,31
74,32
74,30
74,28
74,29
74,32
74,30
74,31
74,30
74,31
74,33
74,29
74,34
74,30
74,31
74,29
74,29
74,29
74,29
74,29
74,30
74,31
74,30
74,30
74,33
74,32
74,30
74,34
74,28
74,30
74,31
74,32
74,27
74,30
74,32
74,28
74,28
74,29
74,32
74,30
74,32
74,30
74,29
74,28
74,31
74,31
74,28
74,27
74,28
74,28
74,29
74,28
74,30
74,29
74,28
74,31
74,30
74,30
74,29
74,27
74,29
74,31
74,27
74,29
74,31
74,28
74,29
74,28
74,28
74,30
74,29
74,32
74,28
74,31
74,26
74,29
74,29
74,28
74,29
74,27
74,29
74,28
74,29
74,29
74,28
74,29
74,30
74,31
74,29
74,27
74,30
74,35
74,31
74,28
74,29
74,31
74,32
74,28
74,27
74,31
74,28
74,30
74,29
74,28
74,28
74,28
74,29
74,29
74,29
74,35
74,29
74,32
74,28
74,32
74,27
74,34
74,31
74,30
74,28
74,27
74,29
74,32
74,32
74,32
74,30
74,29
74,27
74,30
74,34
74,31
74,28
74,28
74,28
74,29
74,29
74,30
74,29
74,28
74,27
74,32
74,30
74,31
74,27
74,35
74,27
74,31
74,27
74,27
74,35
74,27
74,31
74,35
74,31
74,31
74,27
74,27
74,27
74,31
74,35
74,31
74,27
74,35
74,35
74,35
74,35
74,35
74,35
74,27
74,27
74,27
74,28
74,29
74,31
74,35
74,28
74,29
74,29
74,31
74,31
74,32
74,28
74,30
74,27
74,33
73,21
73,21
73,19
73,19
73,21
73,18
73,20
73,21
73,22
73,21
73,22
73,21
73,20
73,21
73,20
73,22
73,21
73,22
73,19
73,21
73,22
73,22
73,22
73,20
73,21
73,22
73,20
73,21
73,21
73,22
73,22
73,22
73,22
73,22
73,22
73,21
73,21
73,22
73,22
73,23
73,23
73,23
73,23
73,24
73,23
73,23
73,23
73,22
73,22
73,22
73,22
73,21
73,21
73,21
73,21
73,20
73,23
73,22
73,22
73,24
73,24
73,22
73,23
73,24
73,23
73,24
73,22
73,24
73,22
73,23
73,22
73,22
73,23
73,22
73,24
73,23
73,20
73,21
73,22
73,22
73,22
73,21
73,24
73,24
73,24
73,25
73,24
73,24
73,23
73,23
73,25
73,23
73,23
73,22
73,25
73,24
73,24
73,22
73,22
73,24
73,22
73,23
73,24
73,23
73,24
73,22
73,22
73,24
73,22
73,23
73,23
73,25
73,26
73,23
73,25
73,24
73,25
73,24
73,25
73,26
73,24
73,24
73,25
73,23
73,25
73,23
73,24
73,25
73,25
73,24
73,23
73,24
73,24
73,25
73,23
73,25
73,26
73,24
73,23
73,26
73,23
73,23
73,23
73,25
73,25
73,23
73,24
73,24
73,22
73,22
73,25
73,24
73,23
73,23
73,26
73,25
73,26
73,25
73,25
73,25
73,24
73,26
73,25
73,24
73,24
73,26
73,24
73,24
73,24
73,25
73,23
73,25
73,25
73,25
73,24
73,26
73,25
73,23
73,25
73,26
73,27
73,28
73,26
73,26
73,26
73,24
73,27
73,26
73,27
73,26
73,26
73,26
73,26
73,25
73,26
73,26
73,26
73,24
73,27
73,24
73,26
73,25
73,26
73,26
73,26
73,24
73,25
73,27
73,25
73,26
73,24
73,25
73,24
73,26
73,25
73,25
